Jornada,Equipo,Ubicacion,Goles Anotados ,Goles En Contra,Resultado,Puntos,Disparos Realizados ,Disparos Recibidos,Disparos a Puerta Realizados,Disparos a Puerta Recibidos,Faltas Cometidas,Faltas Recibidas,Tiros de Esquina a Favor,Tiros de Esquina en Contra,Tarjetas Amarillas ,Tarjetas Rojas
4,Udinese,Away,3,2,Ganado,3,18,9,6,3,18,8,6,5,3,0
4,Napoli,Away,4,0,Ganado,3,12,16,5,3,11,22,4,7,2,0
4,Roma,Away,1,1,Empate,1,16,20,6,8,12,9,5,4,3,0
4,Venezia,Away,0,4,Perdido,0,6,12,1,8,12,12,1,6,3,1
4,Lecce,Away,0,0,Empate,1,20,5,6,0,13,13,7,2,3,0
4,Bologna,Away,2,2,Empate,1,14,14,4,4,12,17,3,4,1,0
4,Juventus,Away,0,0,Empate,1,15,8,3,3,10,11,8,4,2,0
4,Verona,Away,1,2,Perdido,0,7,14,2,7,10,13,6,9,2,0
5,Torino,Away,3,2,Ganado,3,16,8,3,2,8,10,6,5,1,0
5,Udinese,Away,0,3,Perdido,0,9,14,3,6,11,15,1,2,2,0
5,Napoli,Away,0,0,Empate,1,8,9,1,1,13,10,3,4,0,0
5,Como,Away,3,2,Ganado,3,14,8,7,5,17,12,2,6,3,0
5,Milan,Away,2,1,Ganado,3,16,13,8,4,4,13,2,6,1,0
5,Lazio,Away,1,2,Perdido,0,20,14,6,5,15,11,10,3,4,0
5,Genoa,Away,0,2,Perdido,0,9,12,0,4,12,9,4,3,3,0
5,Bologna,Away,2,1,Ganado,3,15,6,8,3,16,20,2,2,2,0
5,Empoli,Away,2,0,Ganado,3,9,21,4,2,21,15,4,10,2,0
5,Parma,Away,2,2,Empate,1,24,14,10,3,11,12,12,2,0,1
6,Inter,Away,3,2,Ganado,3,16,10,7,3,6,13,3,7,0,0
6,Fiorentina,Away,0,0,Empate,1,13,8,0,1,12,15,4,2,1,0
6,Monza,Away,0,2,Perdido,0,5,11,1,2,8,16,3,1,2,0
6,Venezia,Away,1,2,Perdido,0,18,22,7,5,13,8,3,6,2,0
6,Atalanta,Away,1,1,Empate,1,23,5,5,1,12,16,9,2,3,0
6,Lazio,Away,3,2,Ganado,3,13,12,7,7,13,10,1,3,3,0
6,Lecce,Away,0,3,Perdido,0,16,15,7,6,8,5,7,4,1,0
6,Juventus,Away,3,0,Ganado,3,12,7,3,2,14,8,3,5,1,0
6,Cagliari,Away,3,2,Ganado,3,11,18,4,4,16,10,3,5,2,0
6,Verona,Away,2,3,Perdido,0,6,24,3,11,19,10,1,9,5,1
7,Torino,Away,2,3,Perdido,0,7,29,5,8,9,6,0,14,2,1
7,Roma,Away,1,1,Empate,1,15,3,4,3,13,16,3,1,1,0
7,Venezia,Away,1,2,Perdido,0,11,13,2,4,7,10,6,13,0,0
7,Como,Away,1,3,Perdido,0,11,9,2,6,10,7,1,4,1,0
7,Milan,Away,1,2,Perdido,0,16,12,8,3,21,11,7,0,3,1
7,Lecce,Away,0,1,Perdido,0,9,13,3,4,16,12,0,5,2,0
7,Genoa,Away,1,5,Perdido,0,7,23,2,8,15,9,2,4,0,0
7,Empoli,Away,1,2,Perdido,0,7,16,2,6,17,10,3,5,4,0
7,Cagliari,Away,1,1,Empate,1,9,21,2,9,10,13,3,8,2,0
7,Parma,Away,0,0,Empate,1,13,19,2,3,16,15,6,13,0,1
8,Inter,Away,1,0,Ganado,3,11,14,6,3,13,12,3,3,3,0
8,Fiorentina,Away,6,0,Ganado,3,19,5,11,2,14,8,3,1,5,0
8,Monza,Away,3,0,Ganado,3,10,16,4,4,13,8,6,9,2,0
8,Torino,Away,2,3,Perdido,0,17,18,5,5,8,9,12,9,3,0
8,Udinese,Away,0,1,Perdido,0,13,10,1,5,14,3,4,8,3,0
8,Napoli,Away,1,0,Ganado,3,9,11,1,4,13,14,7,7,2,0
8,Atalanta,Away,2,0,Ganado,3,16,12,7,4,6,12,5,2,1,0
8,Lazio,Away,0,1,Perdido,0,2,16,1,3,9,16,1,7,2,1
8,Bologna,Away,2,2,Empate,1,12,10,7,4,12,20,7,1,0,0
8,Parma,Away,1,1,Empate,1,9,11,3,3,10,14,4,7,2,0
